anglais;What does the idiom "kick the bucket" mean?;To start a game;To die ;To spill water ;b
anglais;Which word is a synonym for "ephemeral"?;Permanent ;Temporary ;Ancient ;b
anglais;In grammar, what is the correct form: "She _____ to the store yesterday"?;gonne;Went;Goes;b
anglais;What does the prefix "un-" typically mean in words like "unhappy" or "undo"?;Not or opposite of;Again;Many;a
anglais;Which sentence uses correct subject-verb agreement?;The team are winning the game;The team is winning the game;The team were winning the game;b
anglais;What does the idiom "bite the bullet" mean?;To eat quickly;To face a difficult situation bravely;To argue with someone;b
anglais;How do you translate "logiciel" into English?;Hardware;Software;Firmware;b
anglais;What is the correct English word for "réseau"?;Connection;Network;Server;b
anglais;What is the past participle form of the irregular verb "to write"?;Writed;Wrote;Written;c
anglais;In the sentence "By next year, she _____ her degree," what is the correct future perfect conjugation of "to complete"?;Will complete;Will have completed;Has completed;b
anglais;Which is the correct conjugation of "to be" in the past continuous tense for "we"?;We was being;We were being;We been;b
anglais;How do you translate "clavier" into English?;Mouse;Keyboard;Monitor;b
anglais;What is the meaning of "break up" in a romantic context?;To end a relationship;To divide into pieces;To interrupt suddenly;a
anglais;Which phrasal verb means "to tolerate or endure something"?;Give in;Put up with;Carry out;b
anglais;Which sentence contains a relative clause?;The dog barks loudly;The dog that barks loudly is mine;The dog is barking now;b
anglais;What does the suffix "-ology" typically mean in words like "biology" or "psychology"?;Study of;Fear of;Love of;a
anglais;Which sentence is in the passive voice?;The chef cooked the meal;The meal was cooked by the chef;The chef is cooking the meal;b
anglais;What does the phrasal verb "turn down" mean in the sentence: "She turned down the job offer"?;To increase the volume;To reject or refuse;To change direction;b
anglais;Which phrasal verb means "to start a journey or trip"?;Set off;Put up;Look after;a
anglais;In the sentence "He came across an old photo while cleaning," what does "came across" mean?;To find by chance;To argue with someone;To recover from illness;a
culture_generale;Quel est le plus long fleuve du monde ?;Nil;Amazone;Yangtsé;b
culture_generale;Quelle ville est surnommée "la ville lumière" ?;Londres;Paris;New York;b
culture_generale;Qui a peint "La Joconde" ?;Vincent Van Gogh;Pablo Picasso;Léonard de Vinci;c
